	CFS: CD4 (S2,S4,S6) - TA (S1,S3,S5) - Healthy: CD4 (S8) - TA (S7)
FNDC3B	-1.2248322000000003
MCC	-1.2248119999999991
SCYL3	-1.2247139999999987
TRAPPC11	-1.2238960037414324
SEZ6	-1.2202542999999997
CPSF1	-1.2198619999999973
ALG6	-1.2179126999999985
PRRT1	-1.2176477660000025
SOCS4	-1.2171791999999995
USF3	-1.2167964400000002
ZNF667	-1.2166534000000002
ADCY3	-1.2166153
DTNA	-1.2159194000000006
SRSF12	-1.2142378
RFX3	-1.2125778999999994
SEC14L1	-1.211985557683402
SPON1	-1.2117300000000004
CEP112	-1.2108745439999997
EXOSC8	-1.2090769999999935
ELMOD2	-1.2070198999999997
KLF3	-1.2051700000000007
CLEC2B	-1.2040410000000037
MLLT6	-1.2035707999999978
ZNF879	-1.2029800000000002
KBTBD4	-1.2018140483999993
C12orf42	-1.2007749999999984
TMEM38B	-1.2006175000000052
IQCH	-1.1993055700000002
ZCCHC8	-1.1988147999999996
HSPH1	-1.1970488999999915
POLR2G	-1.1954439999999984
SLC2A4RG	-1.195139
CNOT9	-1.1945839999999972
LY96	-1.1941100000000002
TTC26	-1.1925443279330001
MS4A4E	-1.191461
WDR5	-1.190737
MTOR	-1.1898565000000003
ZNF2	-1.1892872355400002
GAREM2	-1.188928
GATAD1	-1.1888945999999976
MROH1	-1.188430099999998
XXYLT1	-1.1875839999999998
B3GNT4	-1.186489
CHIC1	-1.1858583036999994
SLC25A37	-1.1856140345599986
SSH2	-1.185145999999996
SPATA33	-1.1846171
ANXA6	-1.1842040000000047
ZNF441	-1.1836399999999996
PPM1N	-1.1823356
FAM207A	-1.1819359999999994
ADAMTSL3	-1.1810199999999997
NSUN5	-1.1808929999999993
NOM1	-1.1806480000000001
SGCB	-1.1793309999999995
TMEM68	-1.1781861000000013
CYP4V2	-1.1781819999999996
SRGAP2C	-1.177424
PHGDH	-1.1754778334974396
VRK2	-1.174156
AMIGO2	-1.173566
ZNF267	-1.1735091999999994
PEX19	-1.1731369999999899
ASL	-1.172441
LPAR5	-1.170762999999999
BMT2	-1.1706749999999997
DERA	-1.1706190662799987
ERCC3	-1.1704330085116696
SLC25A43	-1.1695129999999998
PCBD2	-1.1683369999999997
NUP153	-1.1676699999999984
LZTFL1	-1.1669970999999988
ITPRID2	-1.16654056077
POP1	-1.1663010000000007
HPS3	-1.1652510999999954
LRCH1	-1.1651243000000013
RGP1	-1.1636350000000002
PBDC1	-1.1615300000000004
FAM83D	-1.16106
TSHR	-1.1593791002261469
CACNA1A	-1.1574637
FNIP1	-1.1569082999999996
FAM178B	-1.155862
MIPEP	-1.15548735848
PIEZO2	-1.1554396871897001
FAM89A	-1.1551200000000001
HMGN4	-1.1550299999999991
FCGR3A	-1.15480662
FZD6	-1.15460053
BBOF1	-1.1542610000000002
DPPA4	-1.1537431000000002
CHKA	-1.1525812
NIPSNAP1	-1.1520929999999998
ACTR1B	-1.1517600000000003
MPZL2	-1.1514306
PLK4	-1.1505504721187303
YARS2	-1.150544000000001
KRT18	-1.1504439200000007
FLT1	-1.149844118
MTHFD1	-1.1498359999999983
SPIRE1	-1.1471892653025
OCEL1	-1.1471430222500025
CEBPZ	-1.146806
AIMP1	-1.1463099999999997
PIGO	-1.1460543999999988
VPS53	-1.1456187838009981
DOP1B	-1.145124000000001
ODF2	-1.1439806400000059
CPQ	-1.1433219999999997
RAB30	-1.1424063629728103
CHERP	-1.1418900000000018
ZBTB18	-1.1397430000000002
TSHZ2	-1.1391722
ZNF681	-1.1387959730463995
CDC40	-1.1384989999999995
RNF111	-1.1378184920999956
MIEF2	-1.1367080000000005
MED9	-1.136457
ERGIC1	-1.1361268000000004
RRNAD1	-1.1360172308100003
ERICH6	-1.1349969000000002
SLC7A1	-1.1334248999999998
EMILIN1	-1.1326840000000002
EIF4ENIF1	-1.1313000000000004
THOC7	-1.1310930000000008
ZSWIM5	-1.130253
HSF4	-1.1300948549
POC1A	-1.129867
ZNF831	-1.129290000000001
ARHGEF38	-1.128879
RENBP	-1.1288330000000006
WDR7	-1.1282266099999951
DYRK1A	-1.1279426000000017
NMB	-1.1274830000000002
H4C15	-1.1260056182990006
DNAAF5	-1.1254144999999993
MYDGF	-1.1246530000000003
ZNF222	-1.124522
RRM2B	-1.123752231
HIRA	-1.1207279999999997
METTL15	-1.1205776000000007
PPIL1	-1.1203250000000002
ELP3	-1.1196805082300045
POLD1	-1.1184318250999998
STIM2	-1.118253000000001
SETDB1	-1.1175040210721008
NHP2	-1.116909999999998
ATP6V1F	-1.11625
RMI1	-1.1160699999999997
LRMDA	-1.1150484000000003
MAPK9	-1.1144457999999986
LTC4S	-1.113542
ZNF555	-1.1126769999999997
PRTFDC1	-1.1119359999999998
RCAN1	-1.1119256775118003
CIZ1	-1.1100186605844993
VCPKMT	-1.1084819999999986
WDR83OS	-1.1075909999999993
LRFN4	-1.107222
RFT1	-1.1064909999999948
CCDC34	-1.1059215
GARS1	-1.1054430000000002
TRIM34	-1.102446
NT5C	-1.1013789999999943
STMN3	-1.100669
MANEA	-1.099898
BRD3	-1.0994670000000006
ARPC1A	-1.0987590964999985
MUC12	-1.0985344999999995
TUFT1	-1.0984509999999998
PGM2L1	-1.09815
MPPE1	-1.0980309649999924
RIMS3	-1.097225
BCL11A	-1.0958892300000003
SLC27A4	-1.095817
RSAD2	-1.0957050000000002
PYROXD2	-1.0955382000000002
KPNA2	-1.0950087
CRELD2	-1.088847600000003
C14orf119	-1.0879999999999939
PRR29	-1.0874289059800004
HMMR	-1.0832904431408998
GFAP	-1.08320866
TRPA1	-1.0825589000000004
SPCS1	-1.0802969999999998
PRDM7	-1.0793510000000002
USP47	-1.0780079000000047
DDX60L	-1.077898600000001
DGKQ	-1.0778060000000003
ORAI2	-1.0772339999999998
CGRRF1	-1.0757693000000046
ABLIM2	-1.0731710000000005
ATP6V1B2	-1.0727519999999997
CD99L2	-1.0721751999999998
ITGAE	-1.0711835999999977
DIPK2A	-1.0708737
SLC39A1	-1.0690728999999997
FBXO45	-1.0685800000000016
C22orf15	-1.06815761
PPP2R5A	-1.067947
QTRT2	-1.0679125799999962
BAIAP3	-1.0672682509427898
DMXL2	-1.0654660385778998
FAM217A	-1.0650833
GZF1	-1.063937999838637
ACSL3	-1.0638736512999998
TK1	-1.06358577
SERPINB1	-1.0635450000000048
MARCHF9	-1.062289999999999
DHRS11	-1.06227838
CASTOR3	-1.0617067999999996
ARL16	-1.0607647
DYNC1H1	-1.0604407000000027
PIDD1	-1.060062999999999
SNX18	-1.0571530000000002
ADTRP	-1.0561468000000005
MCM2	-1.0561168640275302
KLC2	-1.0560561409732
CCDC93	-1.0556470000000004
CACNB3	-1.05488250188051
CDC73	-1.0543142999999873
GTPBP1	-1.0541264299999966
FOXP4	-1.053695
HSPBP1	-1.0532173530000009
GNL2	-1.052917299999999
CARM1	-1.0526907033130684
NEDD1	-1.0522419999999997
THOC5	-1.0517520008782277
BROX	-1.0507901819129337
CPTP	-1.050622
C11orf21	-1.050345
PIAS4	-1.049468
CDH8	-1.0490787499999987
HOXA1	-1.0473928
GRK4	-1.046773
IFT140	-1.0467442999999994
LCMT2	-1.0458599999999998
SLC12A9	-1.0441137110600032
RNF187	-1.04205
ATP11C	-1.041691000000001
IMPA1	-1.0412047524593948
KIAA1328	-1.0402550000000002
ADGRA3	-1.0398793072399999
DDX49	-1.0388909999999996
NDST1	-1.03886008
ALG13	-1.037960245732016
MBOAT7	-1.037798753579903
WDR75	-1.0343910000000012
HDDC3	-1.0337999000000089
CRACR2A	-1.0337756000000011
TBXA2R	-1.033585
WASHC3	-1.0333391999999968
DERL2	-1.031939000000044
CNBD2	-1.0293446999999993
CXXC1	-1.0291659999999823
ARHGEF12	-1.0284202900392025
LYL1	-1.028048
MINDY1	-1.0264589027622293
POMC	-1.0257779999999999
MTREX	-1.0257139999999865
VEZT	-1.024517681104772
PTPN12	-1.0240394
TOMM70	-1.0232640000000002
GGT7	-1.0232504
NAB2	-1.0226799999999998
TMEM128	-1.0217
DUS4L	-1.0214564799999999
FAM53B	-1.0214202000000014
PPP3CB	-1.0209322999999992
COMMD1	-1.0204179100000061
PACSIN1	-1.018293050610494
CNTRL	-1.0162700000000022
HMGB3	-1.0157060000000002
TNKS1BP1	-1.01455
UBL7	-1.0141531061119764
VPS72	-1.0126949999999866
TSNARE1	-1.0125132907244634
BLCAP	-1.0124461999999999
MGRN1	-1.0117089650841002
SLC35G1	-1.0093269999999999
SGTB	-1.0071000000000003
RBKS	-1.00607
LRRC8B	-1.005803000000002
PRICKLE4	-1.00529
ADAT2	-1.0032489999999998
CDIN1	-1.0028823013589996
ZBTB9	-1.0026980000000023
PCK2	-1.0026255999999982
TBCCD1	-1.0020169999999997
EPS8	-1.001383229220598
PLEKHG4	-1.0010466042999993
PXMP2	-1.0007610000000002
TIMD4	-0.9987319999999998
CCDC138	-0.9955467999999996
ZNF761	-0.9940230000000003
ANKMY2	-0.992481
ALDH4A1	-0.9914191000000001
SMARCA5	-0.9910119999999998
SEMA6C	-0.9896872999999999
ZNF524	-0.9889239999999999
SETMAR	-0.9888386534020004
MOAP1	-0.9883599999999966
TBPL2	-0.9876880000000001
ANKRD40	-0.987305
ZNF793	-0.9871533020775001
SLC25A29	-0.98675149158
KALRN	-0.9853582250000001
ZNF692	-0.9848896556999991
DNAJB13	-0.9847945000000001
TCAF1	-0.9846220009185478
ZNF621	-0.98332613
RHOQ	-0.9827573000000001
RUFY2	-0.9821163000000004
NCR3	-0.9818352000000043
ABCA2	-0.9815348886999999
CRNKL1	-0.98138539574
CLPP	-0.9803289999999976
NIPA2	-0.9803049999999871
STARD10	-0.9789565999999965
RAPGEF2	-0.9785733000000008
CA2	-0.9781621
CES4A	-0.9765962500000003
ARL8B	-0.9765527956700026
CCNJ	-0.9757750000000001
DUSP4	-0.9757120000000001
TAFA2	-0.9742349352900002
NOC4L	-0.9742169
MFHAS1	-0.9737159999999991
CALY	-0.9731281351525
HAUS3	-0.9729689999999991
TAF15	-0.9728709598992005
UHRF1BP1	-0.971338
TMEM38A	-0.970972
NUDT12	-0.9698924999999998
SSX2IP	-0.969305000000003
DTX1	-0.969006
PLCXD1	-0.9685269999999999
NCOA3	-0.9682289999999973
C3orf62	-0.967894
TUBA1C	-0.9666609999999949
C2orf69	-0.9658654
CYP2U1	-0.9653767000000006
NFKBIE	-0.9645339999999987
TULP3	-0.9632879999999995
HSPG2	-0.9612328000000001
SPATA45	-0.9607289999999999
UCN	-0.96058
ZNF706	-0.9603970000000004
ACAT1	-0.9599922600000017
C3	-0.9596569999999998
NAT10	-0.9594878000000002
ZNF547	-0.9582089
FAM83G	-0.957699
RGPD6	-0.9559990000000003
COLGALT1	-0.9558619999999998
GABPB2	-0.9552970000000007
PSKH1	-0.9551180000000001
ANG	-0.9540420000000001
RSL24D1	-0.9536759999999999
RAD54B	-0.953461
RILPL1	-0.9520869999999992
UPP1	-0.951988999999994
PDCL	-0.9518000000000004
FKTN	-0.9506446000000002
EXTL3	-0.950642
B4GALT2	-0.9505166340473441
RNASE4	-0.949897
ZNF641	-0.9496359999999981
ALAD	-0.9474325999999995
FAM161A	-0.9472093999999998
IRF5	-0.9471759721878819
CBWD5	-0.9458951086583127
CDYL2	-0.9457917591030007
SLC16A1	-0.944535000000001
MYO5C	-0.9435832
ZNF230	-0.9431499999999997
PDGFD	-0.9423294999999999
CCR9	-0.9420829999999998
GLRX	-0.9413549999999979
BRAT1	-0.9406469
PREP	-0.940259999999999
JRK	-0.9394766229999996
EIF3D	-0.9382392000000124
QSOX1	-0.9366700000000012
METTL16	-0.9363309999999991
SSTR3	-0.9361946999999999
CDCA4	-0.93588
ERMP1	-0.93560687527
GLB1L2	-0.9354522999999999
SLC9A5	-0.9340431
KDM6B	-0.933767
FRS2	-0.9335594220000019
EPOR	-0.9335338500000017
ALDH7A1	-0.9328414179713993
WSB2	-0.9328175939999968
PCP2	-0.932597
SPAG5	-0.9325815999999998
TOR1A	-0.9293910000000001
BAHD1	-0.9280470000000001
CD79B	-0.9278433999999969
RHEBL1	-0.9271301353299999
ADSS1	-0.9256284000000002
MBD2	-0.9244451846000032
THOC6	-0.922887999999999
SLC44A1	-0.9228714000000018
CDHR2	-0.9227720000000001
METTL25	-0.9197047000000005
SACS	-0.9174269999999995
TMEM94	-0.9167201847344977
C9orf16	-0.9158623700000001
ATL1	-0.9144295
IFT122	-0.9128820820000003
DVL3	-0.9114670000000018
NIPSNAP3B	-0.909195
MESD	-0.9079444999999993
KCNMB4	-0.9079200999999999
GJB6	-0.90776761702297
DBN1	-0.9073356299999988
SLC35A1	-0.9066710053549201
CASP9	-0.9056849999999999
TOX2	-0.9052670000000003
ARMCX2	-0.9041074999999998
ZBTB25	-0.9036600000000021
BCOR	-0.9013387379999989
SGO2	-0.899114
MAGI3	-0.8985046000000001
POLDIP2	-0.898289
COMMD8	-0.89818
NME9	-0.89744108
IL17B	-0.8969772
CKAP2L	-0.8967357
TMEM225B	-0.896523
RGS5	-0.8954708250060008
WDR72	-0.8950304
PANK2	-0.8948680000000024
TBC1D3L	-0.894679
ZNF569	-0.8945705999999989
XRCC3	-0.8944895000000004
LEO1	-0.8940980000000001
DNAJB2	-0.8938128199999995
HSDL2	-0.8913300000000008
TMEM269	-0.8900812000000001
SNAP29	-0.8894399999999987
INTS6L	-0.8891557000000017
AGK	-0.8867101870526906
DDX52	-0.8863529896000024
CHID1	-0.8849562999999918
FAM234B	-0.8848771000000001
TUT4	-0.8848007999999936
NSMCE2	-0.8844910000000059
ZNF785	-0.8837109999999999
MAP6D1	-0.883478
PHLDA3	-0.8830689999999997
RBM25	-0.8825527760000043
ALOX12B	-0.8820018090000001
CFD	-0.8816028000000002
SIAH1	-0.8810089000000003
WDHD1	-0.8809550000000006
EIPR1	-0.8808692000000007
CLN5	-0.8775487196932454
ZNF30	-0.8766019999999992
C9orf72	-0.8766010000000009
GAMT	-0.8765720000000001
NVL	-0.8760318598099985
ZNF396	-0.874571
SGK1	-0.8743260700000022
CXADR	-0.8742189999999999
TAOK3	-0.8732679999999959
ERH	-0.8732050000000058
FBXL12	-0.8731972262499959
MAP3K14	-0.868854
C17orf97	-0.8656319999999997
MBNL3	-0.8655689999999971
DRAM1	-0.8644312000000003
ZNF652	-0.8640600000000003
TRO	-0.8635508281900001
LRP11	-0.8627412000000001
TMCC2	-0.8619872949484797
CENPE	-0.8619439999999999
GRAMD1B	-0.860232722220001
PPM1M	-0.8586000327000036
TENT4B	-0.8582189999999998
ARPC5L	-0.8580869999999976
HIGD1B	-0.85749
IREB2	-0.855626
CPPED1	-0.8554233490665197
C4orf36	-0.855194
ZBTB10	-0.8540947269999999
EDAR	-0.8540820000000002
ZNF577	-0.8538185000000007
TPCN2	-0.85321172
NAB1	-0.8529964910000003
HDGFL3	-0.8516068500000002
LSM6	-0.8507823999999999
GCC1	-0.8498769999999998
FOSL2	-0.8495550000000005
SMN2	-0.8494162160360759
EML5	-0.849126
CCNT1	-0.8487220000000004
HHAT	-0.8484173999999998
CCDC106	-0.8478074000000001
TMEM120B	-0.8473393000000001
FAM53A	-0.8459216999999999
MRTFB	-0.8457238955457482
CBX5	-0.8456315999999995
CFHR1	-0.844793
CTSW	-0.8443960000000001
ARHGEF37	-0.8443799999999999
SLC35E3	-0.84337843
GDF9	-0.8423854941000001
U2AF2	-0.841837
ZNF71	-0.840943
LEKR1	-0.84042017
CCNK	-0.8401296300000016
EVA1A	-0.8399453920900001
MMRN2	-0.8397185000000003
CCDC194	-0.8396946
WDR55	-0.839025000000003
OSBPL1A	-0.8388978000000002
PPP1R42	-0.8377060000000001
TCTN2	-0.8362319999999999
GHRL	-0.8360345962950899
CD274	-0.8345860000000003
USP24	-0.8343440000000002
CCDC78	-0.8338661000000002
EGFL7	-0.8328291000000001
PLEKHB2	-0.8323887999999897
UBE2V1	-0.8323552999999997
MEF2B	-0.8317471000000001
ADD2	-0.8309275284899998
WRAP53	-0.8296365000000008
TMEM45A	-0.8291400000000002
KLF11	-0.8275484533090002
IRAK1BP1	-0.8267307999999999
LYRM4	-0.8245805750899997
MBLAC2	-0.8235379999999999
C14orf93	-0.8230533406000013
SLC25A30	-0.8218059953900001
CD2AP	-0.8215332999999987
TDP2	-0.8214353999999995
TTC1	-0.8213989999999995
CYP24A1	-0.8208527999999999
MED10	-0.8202860000000012
XIAP	-0.8201914000000006
STK16	-0.819557997707161
HMGXB3	-0.8193909000000001
DDIT3	-0.8193372999999982
C11orf45	-0.8188149
H2AC11	-0.8186300000000006
EMC7	-0.8179800000000002
ZFP2	-0.8178243
HGSNAT	-0.8177151999999985
ZNF724	-0.8172680000000002
WDR88	-0.8166349999999999
GSAP	-0.8152083999999995
GPHN	-0.8151013000000011
GCNT4	-0.8142499999999995
EBLN2	-0.8138700000000003
KIAA0895	-0.8128847510424393
ZNF778	-0.812733999999999
AVIL	-0.8123063000000004
TOB2	-0.8118399999999997
ERF	-0.8111494705000002
MMEL1	-0.8102097999999998
CLIP3	-0.8101930000000002
ITGB1	-0.8099246999999998
DDB2	-0.8098129999999983
SELENOI	-0.8093802739960897
PHF19	-0.8091294700600002
SSRP1	-0.8081900000000001
TRIM11	-0.8077984000000002
BRAP	-0.8065974999999987
RNFT1	-0.8035439999999987
PLA2G1B	-0.803452
FAM219A	-0.8029359
CTSB	-0.8018620000000005
PMS2	-0.8015961022999987
ZNF280C	-0.801444
ANKRD26	-0.8013055
H4C14	-0.799505899999998
VGLL4	-0.7989188999999932
IGBP1	-0.79843
IFNAR2	-0.7983050000000063
FABP3	-0.7967320000000001
APBB3	-0.7960215100000005
ZBED3	-0.79587
ETFB	-0.7946199000000002
GATC	-0.7945099999999998
TMPPE	-0.7943094
TRMT2A	-0.7925089090090189
MYSM1	-0.7912969999999993
MON2	-0.7891615178000055
ZBTB43	-0.7880319999999994
C8orf58	-0.7876941999999998
C7orf50	-0.786661166800009
C16orf72	-0.786020000000001
EBF4	-0.78531602626
CTPS2	-0.7848589999999998
ASNS	-0.7839682724883841
ZNF18	-0.7830850000000016
ZNF264	-0.783056000000002
BRICD5	-0.78213
C9orf116	-0.7819579999999999
SAMD15	-0.7810286
CHEK2	-0.7801973999999992
C4orf33	-0.7800157000000003
PDE6B	-0.7789369999999991
C9orf24	-0.7786510000000001
SLC2A13	-0.7784279999999999
TSG101	-0.7761599999999902
COIL	-0.775971
CHRNA10	-0.774761
MAN2B1	-0.7731549000000015
YAF2	-0.7731292474355396
SCRIB	-0.7731160000000008
ZSCAN31	-0.7729089433679996
MAPK6	-0.7727880000000003
ZRANB3	-0.7722432159265269
POM121	-0.7706930000000014
DYNC1I2	-0.7705064000000093
SSH3	-0.7701004000000002
GIPC3	-0.76959399799
NPIPB4	-0.7693226999999965
CHD7	-0.7684179999999969
ROBO3	-0.7670588995144798
TMEM104	-0.7667469999999996
EXOC6B	-0.7656800000000001
FAM229A	-0.7656323999999999
CDH4	-0.7648909700000002
NEXN	-0.7642762000000001
CCDC198	-0.7632599999999998
KLHDC9	-0.763154
NLK	-0.762535237
C7orf25	-0.7616753161359942
ZNF596	-0.7608436390800009
H2BC11	-0.7606600000000001
SLFN13	-0.7605239390765988
BRCA1	-0.7603658020468003
CACTIN	-0.7601555269820999
ARL11	-0.7576536
CENPU	-0.7575909996610062
DPM2	-0.7574689999999968
SND1	-0.7567031
CYBRD1	-0.7560813999999998
ZFP28	-0.7553812
METRN	-0.7553140000000038
BBS1	-0.754745599658901
ZKSCAN2	-0.7531059999999999
CCS	-0.7504850000000047
SPIB	-0.7504350000000002
HERC2	-0.7500525000000025
FAM110C	-0.7495293000000001
DOLPP1	-0.7493190000000003
IL7	-0.7492717908118298
ZNF28	-0.749149000000001
CAND2	-0.7490140999999992
SOCS6	-0.7484419999999999
NAPSA	-0.7484410004767889
TSEN54	-0.7474930000000004
CDCA2	-0.747479859823395
PKN2	-0.7474090000000011
WARS2	-0.7464219999999986
MT1E	-0.7463010000000003
GPR18	-0.745851
MME	-0.7456846479999999
RASL10B	-0.7455069999999999
MFGE8	-0.7438016100000002
ABCD3	-0.7436486000000011
HIP1	-0.7434992091147001
CCDC28B	-0.7429859999999993
CPNE8	-0.741341
SLC49A4	-0.74099
GNPTG	-0.740853
MLANA	-0.740745
ETFBKMT	-0.7395531550000003
PPA1	-0.7395160000000001
AKT1S1	-0.7384916015523997
KIF5C	-0.7384218
CHDH	-0.7373551399999999
RFK	-0.7372559999999986
RHPN2	-0.7364289999999999
THBS3	-0.7362280000000014
SLC30A9	-0.734961000000002
BORA	-0.7342449999999998
DCC	-0.7341980000000001
NCF2	-0.7296439977711211
CD38	-0.7288500000000001
RABL3	-0.7279610000000005
PECR	-0.7278130000000012
CDNF	-0.7260359000000001
SRD5A3	-0.725296000000001
SLC39A13	-0.7247787000000017
ZBTB32	-0.7247306
CD8A	-0.7247273000000005
INCENP	-0.7244034000000008
SNX12	-0.7238960004726489
RBM43	-0.72255
ASPDH	-0.7220717999999999
ZNF813	-0.7218849999999999
POLR3D	-0.7207680000000001
PIK3R2	-0.720305
CA13	-0.719991
CEP41	-0.7179827999999997
PLAT	-0.7179268488678
FAM160B1	-0.7174859999999992
RLN1	-0.7162800000000002
ZDHHC2	-0.7160330000000004
LYSMD4	-0.7140174599999991
KCTD9	-0.7134239999999996
CPLANE2	-0.712815
YPEL2	-0.7122950999999986
LIMK1	-0.7120604
ZNF587	-0.7118575000000007
PPIE	-0.7112465000000014
CSF2RB	-0.7098629999999999
KCNAB3	-0.7088635000000001
FAM171A1	-0.708723
DHX35	-0.7064284999999999
TP53INP2	-0.7061742
TUBD1	-0.7050267299999966
ENOSF1	-0.7050137000000012
FNBP4	-0.7048452000000296
LCN12	-0.70468
COQ4	-0.7044289999999993
HIPK2	-0.7042090000000001
EIF2D	-0.7025469999999998
EXPH5	-0.7023956
MAP4K3	-0.7020602999999999
KLHL42	-0.7009443999999991
ZNF114	-0.700933
ABHD16B	-0.7004500000000005
REEP3	-0.6983500000000005
ZNF599	-0.6981970000000004
PDCD6	-0.6975460000000098
KIAA1217	-0.697301293034794
E2F7	-0.6956230999999999
SPA17	-0.69558
CYP2D6	-0.69541071
RPE	-0.6943830000000002
GLMN	-0.6939810000000008
PRB3	-0.6936521999999998
SLC29A2	-0.6933878817610011
ZNF197	-0.693290600000001
E2F6	-0.6928393752549997
PYGB	-0.692577
PRMT6	-0.6916852999999998
OSBP2	-0.6914654780000018
C2CD5	-0.6910662999999921
MSH5	-0.6908152107999734
OTUD7B	-0.6908108
APOC1	-0.6904077
SF3B6	-0.6893060000000001
HPN	-0.6863920000000001
TRMT10A	-0.6861689999999991
CHCHD1	-0.6855899999999995
KCNN4	-0.6849954011800001
OSBPL7	-0.6847724
FNIP2	-0.6833149999999999
IL17RA	-0.6831214000000045
USE1	-0.6824940000000002
TMEM8B	-0.6818182851000003
HACD1	-0.6814505992999993
PCOLCE	-0.6811115000000003
GCHFR	-0.6807110000000001
SYNGR3	-0.6792922
HDAC9	-0.6779079999999998
DHX57	-0.6777899001418408
KAT5	-0.6775300693276733
MARVELD2	-0.6766447999999998
WDR12	-0.6766150000000017
NUDT18	-0.6761700000000006
UBAC1	-0.675903
FUT1	-0.67387
LYPD5	-0.6718922
SAA2	-0.6716644
APC	-0.6711570000000115
MLLT10	-0.6700379999999999
SETD1B	-0.6687703809140002
DYRK3	-0.6687541
DCBLD1	-0.6686350000000002
PAK4	-0.6684347349517399
QTRT1	-0.668289999999998
RAPH1	-0.6679081635290001
UBE2D4	-0.6664839999999952
ST3GAL1	-0.6661946999999984
GBF1	-0.6631480000000001
SLC35F2	-0.6630760002928391
GM2A	-0.6629000000000003
LXN	-0.662793
MYEOV	-0.66206
H3C10	-0.6619299999999999
CNOT3	-0.6618407132902933
MORC3	-0.6616645137999999
ZFPM1	-0.660877
IL21R	-0.6601589999999931
CCDC157	-0.6600374000000007
PKM	-0.6593086499999998
METAP1	-0.6588326000000002
MTG2	-0.6583229999999993
PTDSS2	-0.6582276010966823
GRINA	-0.6581883999999998
MLKL	-0.6579046999999978
PIAS3	-0.6552601817002941
LRRC42	-0.6538870000000001
PLAA	-0.6536359999999988
BARD1	-0.6530869999999993
ABI3	-0.6527209999999997
G6PD	-0.6520035000000002
PHLDB3	-0.6517519999999974
FRMD5	-0.6517039017440001
DNAJA4	-0.6513570000000009
KLF8	-0.6512092625900001
ACVR1B	-0.6502394000000002
CCDC71L	-0.6492900000000006
ROR2	-0.6488290000000001
VKORC1L1	-0.64859259984964
RNFT2	-0.6483774
PHOSPHO1	-0.6483181
NUMA1	-0.6476800999999881
STX2	-0.6475896999999993
ZFP69	-0.6475449999999999
MFSD13A	-0.647059999999998
NFIA	-0.6465919999999992
MTMR1	-0.6462947835459998
TMEM42	-0.646104
SRSF6	-0.6451830000000003
WFS1	-0.6446953898999994
SIT1	-0.6446900000000042
FOXM1	-0.6430970000000001
DTNB	-0.6424915042999899
JAKMIP1	-0.6424751919999974
ZSCAN26	-0.6420393283148158
MBOAT2	-0.6418951
GDPD3	-0.6417200000000001
FICD	-0.6414120000000005
SPEG	-0.6410506999999999
C22orf42	-0.6407547
SLC11A1	-0.6405970621860001
DNAJB12	-0.6397890000000004
ZRANB2	-0.6397570000000101
ARFGEF2	-0.638864
PKP2	-0.6387192
CDKN2A	-0.6381249999999996
ERVW-1	-0.637725500000001
SCGB3A2	-0.6366670000000001
DLG3	-0.6362859999999966
WDR91	-0.6358559999999995
C2	-0.63476212
ING3	-0.6343580000000024
RHOA	-0.634035
POU6F2	-0.63395
TVP23B	-0.6337570000000028
FRMD6	-0.6326435782
RLBP1	-0.6325357
DISP2	-0.6311774000000001
PAPOLG	-0.6305320000000005
UBXN1	-0.628773000000006
ELK4	-0.6274337
RIMBP3	-0.6269800000000001
FERMT2	-0.6261814952649
ABHD14A	-0.625967000000001
VASH2	-0.625599
FCHO2	-0.6253569999999999
TTC8	-0.6249783154199999
ZBTB42	-0.6243560000000002
ORC2	-0.6240680000000083
NUP93	-0.6239837000000006
PEX14	-0.623979791744
H2BU1	-0.6237899999999998
EMC4	-0.6236849999999983
CTR9	-0.6236206999999983
BPGM	-0.6234080000000004
ZSCAN23	-0.6230924
ADAM22	-0.6224955256999999
SPP2	-0.622189
EIF2AK3	-0.6212299974621499
MAP3K1	-0.6206510000000001
RIPK3	-0.6205240000000014
SPATA6	-0.6202377000000001
SH2B2	-0.620052
PNLIPRP1	-0.6195428
ACE	-0.6184504999999989
SLC25A44	-0.6174130000000004
MSL3	-0.6171352977938369
TMEM244	-0.6171110000000001
ARHGAP11B	-0.6166543
WIZ	-0.61618748
EPAS1	-0.6151436399999999
CD48	-0.6151359999999997
MDK	-0.6149309999999999
HARS2	-0.6148706816515528
ZYG11B	-0.6147
HPR	-0.6143073
HCRT	-0.614207
PLEKHM3	-0.613722
RLIM	-0.6136099999999991
DOK4	-0.6135373004665039
ZC4H2	-0.6135333000000003
ZCCHC24	-0.61339849
SEC61A1	-0.6131730005302485
SLC27A5	-0.6130047000000012
NEIL1	-0.6125128900000001
ZNF507	-0.6116808000000002
MGA	-0.6111870000000001
SH3BP5L	-0.6108892000000002
ZNF598	-0.6102555010000001
NRCAM	-0.6097797700000002
TMEM241	-0.6090738
FHL2	-0.6072660000000002
OAS3	-0.6068079999999999
EXOG	-0.6063278000000025
KIR3DL2	-0.6060266361499991
VEPH1	-0.6046851000000001
IFT80	-0.6045983000000028
SAC3D1	-0.6036300000000008
CRTC1	-0.6030544999999998
DTHD1	-0.6025698999999998
ZHX1	-0.6020068031662049
ZNF35	-0.6020028599999998
H3C6	-0.6005320000000001
MATN2	-0.6000392796721199
EEF1A1	-0.5997300000000003
AKAP6	-0.5995786000000001
