	CD4 minus TA in CFS vs CD4 minus TA in Healthy
DCAF12	-1.3182640068517664
ARSD	-1.3168809150000005
SLC25A45	-1.3161404999999995
MTMR10	-1.3154174911893008
TMEM37	-1.3153413
POMK	-1.3151470000000003
PLCB2	-1.3150300000000001
ZNF396	-1.3134694000000002
PRSS16	-1.311044381
BMPR2	-1.3092975999999998
SALL2	-1.3087057999999998
SPINK9	-1.3080499999999997
PPP1R10	-1.3070263276000063
BCLAF3	-1.3057520000000018
SUZ12	-1.3049310000000034
SIRT3	-1.3039832699999998
CPLANE2	-1.3037580000000002
HIRA	-1.3026739999999961
LRCH1	-1.300725299999999
AMMECR1L	-1.2982025999999998
ARMC8	-1.2975556914510022
FGFR4	-1.2962988
C12orf42	-1.295442999999997
TSTD3	-1.29467
BCL2L11	-1.294333254497868
FAM126A	-1.2937570000000012
HERC2	-1.2931068000000003
ARFGAP3	-1.2906759999999977
WDR7	-1.2899257689999999
KBTBD6	-1.2897899999999982
FABP3	-1.2896690000000004
URB1	-1.2890200000000003
KIZ	-1.2888829999999984
CDH8	-1.28719918
LDAH	-1.286423869359501
GCSH	-1.2859463
JRK	-1.2852167122
VEZT	-1.2835599619368416
GLIPR2	-1.2829459999999813
CSKMT	-1.2814230000000002
TBX19	-1.2763237999999997
ZNF717	-1.2754718000000018
NUBP2	-1.2725949999999955
DERL2	-1.2719629999999853
DNAJC3	-1.271618000000002
CHST2	-1.2707900000000003
CD99L2	-1.268836000000002
ADA2	-1.2656199238683286
TAX1BP3	-1.2645459999999993
ZCCHC2	-1.264096900000001
TBCK	-1.2608154247600005
EBF4	-1.26064118
LARS2	-1.2605694199999995
ARHGEF10	-1.2587406200000002
BAHD1	-1.2584320000000004
CIC	-1.2547594942519997
GDPGP1	-1.2546347764699999
MCC	-1.2545528202999998
MS4A4E	-1.2543920000000002
LMTK2	-1.2540099999999996
CDT1	-1.2537487000000003
MISP3	-1.253178
PRH1	-1.25254465449059
ZNF354A	-1.252345
TWNK	-1.251901093139999
PLK1	-1.2518569999999998
AFF3	-1.2517823000000003
EIF2AK3	-1.2508340000000011
SLC48A1	-1.2504417982144114
HCFC1	-1.2499906000000003
PCTP	-1.2491520000000005
PPFIBP2	-1.2480792060241006
TPMT	-1.2479999999999993
B3GNT4	-1.2470021000000004
RGPD6	-1.2469355851999997
C19orf38	-1.246572
FRMD6	-1.2454394019000001
BRF2	-1.245330000000001
METTL2A	-1.2431230000000006
COMT	-1.243069680980014
MINDY1	-1.2428580020023983
ZC3H4	-1.2427412000000002
DDX60L	-1.242651500000001
FAM110C	-1.240035
LAMP1	-1.2397769999999966
CDK1	-1.2376515999999995
POLA1	-1.2375400091620006
IRF2BP1	-1.2375200000000017
CD38	-1.2367741999999997
TMEM39A	-1.2361176999999977
ZBED3	-1.2346929999999998
SEZ6	-1.2336331999999999
SETDB1	-1.2333250203432016
CLBA1	-1.2297194999999999
PTPN1	-1.2296399999999998
ANKIB1	-1.229254000000001
C2orf74	-1.2272429999999943
CHIC1	-1.2254240674999997
VGLL4	-1.225387659999999
SRSF12	-1.2245202000000002
ZNF304	-1.223901999999999
RAP2B	-1.2234000000000016
PLEKHM3	-1.2233351
LYRM4	-1.2212032530399988
QTRT2	-1.2209916500000002
CLOCK	-1.2177169864999997
CNOT11	-1.2163299999999921
ZBTB40	-1.2162545980000017
DNAJC11	-1.2162056000000039
ACTR6	-1.2158712000000023
USF3	-1.2150311100000009
PARP16	-1.213428000000004
IQCC	-1.2110850000000002
TSR3	-1.208439999999996
DCUN1D1	-1.2083050000000028
SLFN13	-1.2076833405332001
ZNF568	-1.2060841999999976
ESCO1	-1.2012
ZNF22	-1.2006000000000014
PRDM7	-1.2004670000000002
HTRA2	-1.199551999999997
BRCC3	-1.1978118000000002
TTC26	-1.1975892324629271
GID8	-1.19745
NLK	-1.1966919
RABIF	-1.1957999999999984
TXNDC5	-1.1950385999999966
PDXP	-1.1937270000000026
SERPINH1	-1.1933221000000014
SUFU	-1.1920550999999993
UFSP2	-1.1919829999999791
GEN1	-1.1913321649400004
MXD4	-1.1910589999999956
ZNF658	-1.1910284000000004
CALY	-1.1904113139606
HLA-G	-1.19041107284
C2orf69	-1.1900101999999997
CENPC	-1.188755099999998
RNF113A	-1.1884000000000015
LRMDA	-1.188208
EMILIN1	-1.1876739000000003
NAT14	-1.18735788
RYBP	-1.1872546000000002
EVA1A	-1.1864401573999999
SNX27	-1.1841280914959782
APEX2	-1.1839800000000018
RBM17	-1.1832550140265141
TAC4	-1.1823906909000002
JMY	-1.1813000000000002
PNPLA7	-1.1783405602999997
LRRC24	-1.1778745059999998
CCDC106	-1.1772766
IGFBP3	-1.176985743
ME2	-1.1761219999999994
CDC73	-1.1761160000000004
ARPC5L	-1.1760739999999927
DNAJB13	-1.1750354
FAM217A	-1.1725198
BRIP1	-1.1725001000000004
ELAC1	-1.1712699999999963
TIMELESS	-1.1710200000000004
APBB3	-1.1701166500000006
ZBTB18	-1.1694729999999998
HK2	-1.1690830045807803
TUBE1	-1.1689024000000003
FBXO28	-1.1686890000000005
TIMD4	-1.1686460000000003
ARMCX2	-1.1681135499999997
ARL8B	-1.1668022640800002
HDGFL3	-1.1654248999999994
ELMOD2	-1.162162600000002
RENBP	-1.1617739999999994
HOXA1	-1.1605225
DOP1B	-1.1596649999999995
ANKRD26	-1.1586589999999992
SLC41A3	-1.1585714999999972
FLT1	-1.1581398000000003
CASTOR2	-1.1581100000000002
HDAC3	-1.157853000000003
SLC16A1	-1.1573985647778375
H4C15	-1.1570195380080004
PIEZO2	-1.1570149602547999
DPPA4	-1.1566838000000002
TRIB1	-1.1561288000000003
SPIRE1	-1.1520110360829998
FZD6	-1.1511382339299998
LRP8	-1.1509309999999995
UAP1L1	-1.1498919999999995
ZNF485	-1.1493950000000002
ZNF525	-1.1487309999999997
BLK	-1.1482399
C17orf97	-1.1472033999999993
VPS33B	-1.1461240000000004
NIPSNAP3A	-1.1455079999999995
GMEB1	-1.144449300000005
CEP72	-1.1437979999999985
ZNF681	-1.1436579922611694
PAFAH1B1	-1.1431520000000006
NUDT18	-1.14264
ZNF749	-1.1423100000000002
TMEM117	-1.14080890821876
TMEM45A	-1.1401530000000006
AHR	-1.1392900000000026
CANT1	-1.139155133000001
IRF8	-1.1390348292451642
GTSF1	-1.1390184000000012
ZNF761	-1.137986999999999
RAPGEF2	-1.1378564
DDX28	-1.137700000000006
SRGAP2C	-1.1354940000000004
BBOF1	-1.1349340000000003
NCR3	-1.1333506000000018
ZDHHC13	-1.1327555999999994
ZNF182	-1.1325400000000023
CRTC3	-1.1295020999999998
C1orf216	-1.1284729999999978
WDR47	-1.1254571999999996
C15orf39	-1.124676
ICOS	-1.1244999999999976
ATP1A3	-1.1244810676511963
ITPR3	-1.1244349999999992
TUT4	-1.124043399999998
MAP7	-1.1214770007401758
UFD1	-1.1206099999999992
ZNF28	-1.120000000000001
KCNJ15	-1.1199531386760002
TBXA2R	-1.1187459999999998
IP6K2	-1.116608393706997
FCGBP	-1.1160176100000003
UNC93B1	-1.1155987634600013
ANXA6	-1.114627200000001
MAP10	-1.112136
STAM2	-1.1109428000000001
NDST1	-1.1100040300000003
SRSF2	-1.1083939999999899
KRT72	-1.1076723
JUN	-1.106819999999999
SLC25A25	-1.1049489999999995
FAM217B	-1.1049030000000002
ANKRD17	-1.1043681000000003
C3orf62	-1.1041750000000001
GPATCH3	-1.1033959999999965
C5orf63	-1.1029219999999995
POU2AF1	-1.1016549999999996
TP53I13	-1.1011859999999913
TFAP4	-1.0991237390000002
GPHN	-1.0989395748070017
METTL6	-1.098155799999999
MXRA8	-1.09293361
SLC9A5	-1.0912508
TBCCD1	-1.0905079999999998
FDFT1	-1.0903803266589875
NPEPL1	-1.0890511035816015
WDR11	-1.0883123993537929
TSSK6	-1.0882990000000001
GRAPL	-1.0861986999999989
ATP11C	-1.085455
TOPBP1	-1.0852939999999993
MX1	-1.0851869999999906
CACNA1I	-1.0849090000000003
EIF3F	-1.0809449999999998
NEURL4	-1.0804179646535998
SELENOI	-1.0801820103682012
GJD3	-1.079919
IQCH	-1.0791720099999997
DHX57	-1.0787463990999981
TARBP1	-1.078284
WRAP53	-1.0781970000000012
PEMT	-1.076903000000005
C5orf22	-1.0768005702400032
SOCS6	-1.0757569999999999
GAREM2	-1.075481
ABLIM2	-1.0747134999999999
NAT9	-1.072600899999994
ATP10A	-1.0718420000000002
ZNF783	-1.0715800000000035
CCNB1IP1	-1.0710625
MORN3	-1.0681200000000022
MYH11	-1.0680511759748001
UHRF1BP1	-1.066746
SLC9A1	-1.066438699999999
RNASEH2A	-1.0660600000000002
CCDC93	-1.066027
CNBD2	-1.0657408000000004
PIDD1	-1.063698999999998
CTPS1	-1.0635810999999995
CHERP	-1.063000000000006
LEPROT	-1.062976019744795
SIDT1	-1.0629434000000018
CACNA1A	-1.0615972
SCN1B	-1.0614953599999999
CREBRF	-1.0613229999999874
KPTN	-1.059387
FGGY	-1.058723552743958
TRPS1	-1.0559517999999999
ZNF624	-1.0550739999999994
SPAG1	-1.0542102999999998
TK1	-1.0533144539461001
LZTS3	-1.0511073000000009
ZNF101	-1.0501239999999967
LRRC40	-1.0498000000000012
ADAL	-1.048584899999999
KALRN	-1.0485761890000003
SPECC1L	-1.048186751881822
RPAP2	-1.0481400000000036
ZFP91	-1.0474000000000014
ZNF793	-1.0473538401389
AP2A1	-1.0470942599999997
LRRC8B	-1.046242999999997
IP6K1	-1.0454417629999924
CRIM1	-1.0444685000000002
HSF4	-1.0442884568
EFNB1	-1.04291
GALNT10	-1.0428610000000003
CYP2U1	-1.0422613999999983
MUC12	-1.04223137
RWDD1	-1.041558000000009
DMXL2	-1.0415037384569001
MSI2	-1.0412012012999994
SLC26A2	-1.0411799999999998
SYNJ2	-1.0411484000000009
SPESP1	-1.0400360000000002
TAF6L	-1.0397530000000028
WFS1	-1.03886737935
KDM5B	-1.0376670999999966
KISS1R	-1.0347747000000003
ARL8A	-1.0337228000000014
DICER1	-1.0334040787290988
GPR27	-1.0326485
HSPG2	-1.0320784
ENC1	-1.0315827
FGFBP3	-1.03153
RAD54B	-1.0285860000000002
CDCA5	-1.028020203
EDEM3	-1.0279189999999971
TRPA1	-1.0262126999999999
EIF3J	-1.024433000000002
SS18L1	-1.02307
YIPF3	-1.0221196999999904
PRKAG1	-1.021470100000002
ZNF724	-1.0207769999999998
TREX2	-1.0194849
PAPOLG	-1.0188786000000079
PRICKLE4	-1.0188330000000003
LRSAM1	-1.018691999999998
SCRIB	-1.0180126739999995
C10orf143	-1.0178310000000046
ZNF615	-1.017497418099996
FAM161A	-1.0172188999999996
ZNF30	-1.0168779999999993
HYLS1	-1.0139249999999986
TXNRD2	-1.0138802444996458
FAM174A	-1.0136617
CYP24A1	-1.0134524799999998
KDM1A	-1.0132820000000038
CXXC1	-1.0119141500000097
CCDC138	-1.0115410999999996
ZNF287	-1.0113700000000012
DDX42	-1.0108358000000024
PTOV1	-1.010713200000012
LSS	-1.0095720000000021
CTSK	-1.009251
KBTBD11	-1.009248
TRO	-1.0090797215893497
PEX3	-1.0078650000000025
MTHFD2L	-1.007433920553643
VIPAS39	-1.0072256000000017
P2RX5	-1.0052935000000014
ARL11	-1.004694
ZNF574	-1.0027946000000014
DTX1	-1.0014679999999998
U2AF2	-1.0003480000000007
SELENON	-0.9992200000000002
ZNF512B	-0.99858
CDH1	-0.998541649849872
C16orf72	-0.9984999999999999
ZNF587	-0.9984202000000018
KAT5	-0.9978789999999975
TNFSF11	-0.9976890000000005
GDF10	-0.9929710000000003
AEBP1	-0.9929614999999998
TOGARAM1	-0.9929310073394699
KCNMB4	-0.9920300000000002
EEF1AKMT3	-0.9910779999999981
DET1	-0.9909402256999993
KLHDC8B	-0.9898478000000002
MTCP1	-0.9898260000000001
NME9	-0.9897518500000001
MTHFSD	-0.989276950779999
B9D1	-0.989263
NMI	-0.9885429999999857
NAGLU	-0.9883400000000009
RASEF	-0.9880000000000013
ZNF296	-0.9868429999999995
NUMA1	-0.9865592000000021
ZNF117	-0.9863921
C9orf72	-0.9833869999999996
HPN	-0.9823036
C4orf33	-0.9812759999999994
CPLANE1	-0.9812115122687839
UCN	-0.9780899999999997
CASP10	-0.9772820000000007
SGO2	-0.9772689999999997
PGAM5	-0.9754550000000002
HSPA13	-0.9753000000000007
NOD2	-0.9752000000000001
SLC49A4	-0.9750299999999994
WDTC1	-0.9743852099999986
GATD3B	-0.9731803993787906
MYO1D	-0.9731796999999998
ZNF346	-0.9731545999999991
LSM1	-0.9727959999999882
GRK4	-0.9711714999999996
SF3B5	-0.9710000000000036
ZNF264	-0.9702129999999993
TMEM269	-0.9701620000000001
SP1	-0.9701108999999999
PEX10	-0.9693129999999996
CSNK1E	-0.9651021244200066
ITPR1	-0.9646603813305941
WDR72	-0.9643727
EPS8	-0.9642266765367891
ZNF391	-0.9638299999999997
CLPTM1	-0.9631159999999959
PRKN	-0.9631030999999997
ABCA2	-0.9629631154607003
ESAM	-0.962388973401
ACVR1B	-0.9603020000000004
MED12	-0.9600180029640004
REG4	-0.9593820000000006
PGBD4	-0.9591000000000001
CDHR2	-0.9588949999999996
DTNA	-0.9583661999999991
SPATA45	-0.9583269999999999
ISG15	-0.9578939462599998
SPATA33	-0.9555533000000005
HPGDS	-0.9533548000000003
TLNRD1	-0.9531499999999999
BPGM	-0.9530759999999994
YOD1	-0.9527699999999995
ALAD	-0.9526682999999991
E2F2	-0.9522219999999999
DVL3	-0.9508919999999996
SYCE1L	-0.9502499999999996
SLC9A7	-0.9500702124479999
MPZL1	-0.9498290999999996
C22orf42	-0.9497015
BBS5	-0.9492611999999996
MAP3K9	-0.9481580000000003
GLB1L2	-0.9480215000000001
BMS1	-0.9480000000000004
RNPC3	-0.9474829999999983
C19orf67	-0.9471261000000002
ACTL6A	-0.946971419999997
DPH3	-0.9453540000000054
TIGD6	-0.9450309999999993
ZSWIM3	-0.9449400000000008
RIMS3	-0.94482
FAH	-0.9431433
IL36A	-0.9430689999999997
ALS2CL	-0.9422886972579503
C5orf34	-0.9411039999999997
HIPK2	-0.9404719999999998
RGPD8	-0.9402436769999998
IRS2	-0.9388700000000001
DBN1	-0.9381108100000002
UVSSA	-0.9380966000000002
TBPL2	-0.9374099999999999
WDR12	-0.9372729999999976
BAIAP2	-0.9370102800000004
NCAPD2	-0.9360764000000046
MEGF9	-0.9352400000000003
OSBP2	-0.9350216000000002
DYNC1I2	-0.9347582399999936
C11orf98	-0.9346470000000267
PRTFDC1	-0.933517
MAGI3	-0.9327658000000003
CHDH	-0.9327281000000001
XAB2	-0.9317211845699997
PACSIN1	-0.9307832926323361
EDAR	-0.9305630000000011
UHRF1BP1L	-0.9305538999999996
IL7	-0.9300665421252798
KIAA0895	-0.9294947851120199
ALG10	-0.9289583000000001
MMEL1	-0.9284184000000001
ALDH8A1	-0.9279761000000001
DUSP18	-0.9272130000000018
EGLN3	-0.9236798000000004
GINM1	-0.9236700000000013
SGK1	-0.9233587899999991
RNF115	-0.9229899999999995
NUFIP2	-0.9183800000000009
C4orf36	-0.917075
SLC25A24	-0.9157849999999979
CFD	-0.9156604400000001
CD2AP	-0.9152164999999997
PXDN	-0.913195
EED	-0.9122071999999974
TCEAL9	-0.9108419999999997
ALOX12B	-0.9096170000000001
TENT5C	-0.9095000000000013
HDLBP	-0.9086741287270428
GYPE	-0.9077840000000001
FOXB1	-0.9073907999999999
SLC39A6	-0.906762113900001
SLC29A3	-0.9061699999999995
NIPSNAP3B	-0.9058609999999999
PRIM2	-0.9056644999999985
QSOX1	-0.9056230000000003
PRB3	-0.9051633999999998
ZNF75D	-0.9034214999999985
UBOX5	-0.9033130000000007
HACD3	-0.9027890011181157
BORCS6	-0.9017999999999979
FAM199X	-0.9017699999999991
MIS18BP1	-0.9015110375600024
CACUL1	-0.9005939999999981
PICK1	-0.8996633489999954
RAB19	-0.8995960000000001
MTERF3	-0.8990380000000009
RAB25	-0.8988809999999998
SLC6A16	-0.8983121999999999
SLC38A9	-0.898101699999998
KIAA0319L	-0.8964730000000074
SLC16A3	-0.8962755769999995
CENPE	-0.8948455
C19orf73	-0.8943589999999999
ASB2	-0.8936585999999949
LTC4S	-0.8910460000000001
KIF3C	-0.8907177
GAS6	-0.8902966999999999
EPHX4	-0.8894996
PRICKLE3	-0.888028338601
C8orf76	-0.8871350000000042
TBL2	-0.8867625900000036
POLR3H	-0.8856470000000023
MED20	-0.8854550000000021
RBFA	-0.8841889999999992
H4C14	-0.8833263999999996
GCNT4	-0.8831700000000007
PPP2R1B	-0.8828139999999962
FBRSL1	-0.8808220000000011
CRACR2A	-0.8805429000000009
SLC25A40	-0.8802945999999991
PPP3CB	-0.8800547000000005
LIAS	-0.8797175846999998
ARSL	-0.8795865
SLC7A7	-0.879188466
ZSCAN2	-0.8789354499999984
HMGB3	-0.8778549999999998
XYLT2	-0.8758399999999984
L2HGDH	-0.8756520000000005
MT1X	-0.875173999999987
PDE7B	-0.8741910000000002
TMEM39B	-0.873963400000001
USP37	-0.8731229999999996
SLF2	-0.8728034000000022
APOL4	-0.8727506100000002
GMDS	-0.8725681999999999
E2F5	-0.8710206628979997
MYO5C	-0.8701148
SSH1	-0.8698719820000012
HAGHL	-0.8696808999999996
SLC26A11	-0.86948219887209
MORF4L1	-0.8690302435329045
ERI3	-0.8686109999999978
YPEL4	-0.8667174000000002
LRRC49	-0.8666663939132713
PLCL1	-0.8660090000000018
WWOX	-0.8657842550238399
TMEM181	-0.8653499999999994
CENPU	-0.8648911999999997
H2AC11	-0.8645500000000004
TFE3	-0.8642918501000008
FKTN	-0.8641402999999999
METTL25	-0.8633854999999997
JAM3	-0.8626149999999999
SCGB3A2	-0.8619129999999999
CFHR1	-0.861013
GAGE12B	-0.860205
TUBG1	-0.8598769999999991
CYB5D1	-0.8594820000000007
PRSS21	-0.8593621523769999
ARHGEF37	-0.8588819900000002
SPATA6	-0.8588187000000005
METTL1	-0.8584889999999996
DNA2	-0.8577012999999999
CAMTA2	-0.8563929634320999
ZFP30	-0.8557489999999994
PPP1R42	-0.855395
PECR	-0.8552150000000012
RGS5	-0.8547659143040001
SOCS5	-0.8536699999999997
RNFT2	-0.8529124000000002
TRIM59	-0.8527680000000011
GPX7	-0.8514960000000009
HMG20A	-0.8508169999999993
C18orf21	-0.8495439999999945
CCNK	-0.8487250800000012
SETMAR	-0.8487101388809997
FAM53A	-0.8481582000000003
PI4KB	-0.8476910000000117
SLC1A1	-0.8472008
GDF9	-0.8445800578
ARHGEF38	-0.8441761000000003
CCDC194	-0.844154
CPNE8	-0.8437870000000001
H2AC12	-0.843447
MIEF2	-0.8431409999999957
SGO1	-0.8427728421000005
GPR180	-0.8425799999999999
CLCN2	-0.8411022253848
SETD1B	-0.8398508176349999
ZNF415	-0.8390917445304997
DLG3	-0.8387937000000036
TRUB2	-0.838639999999998
LPAR5	-0.8386010000000006
EFHC2	-0.8367943999999998
SPDYE6	-0.8361649999999999
PIN4	-0.8356829999999889
LSM10	-0.8350709999999992
EGFL7	-0.8345754
STRN	-0.8333999999999993
C16orf95	-0.8329833999999998
DCC	-0.8329116999999999
SMARCA1	-0.8327800999999999
SLC19A2	-0.83141362
ARMH3	-0.8312056999999982
TTC30B	-0.8307899999999999
YTHDC2	-0.8299312000000008
MEF2B	-0.8289987000000001
HSPA1B	-0.8285563340130011
CDH4	-0.8280256799999997
PPM1N	-0.8279239
RASL10B	-0.8277449000000001
SETD5	-0.8277054003226887
TTF1	-0.8272729999999999
AVIL	-0.8259909999999997
RELT	-0.8259009000000006
MOCS3	-0.8250200000000003
NUDT12	-0.8246726
WDR88	-0.8242109999999999
CEP112	-0.82379481
CCDC198	-0.8227613999999999
JMJD4	-0.819669999999995
H3-5	-0.8186800000000001
EBLN2	-0.8178599999999998
THOC5	-0.8172238009484971
B3GALNT2	-0.8168101999999999
S100PBP	-0.815928399840665
RHEBL1	-0.8157124447299999
ACY1	-0.8134864505013004
MID2	-0.8126279999999992
MLANA	-0.8125846
RHPN2	-0.81037607
ROBO3	-0.8102962969507095
TMCO4	-0.8100619999999985
FBXL20	-0.8090640000000011
FAM219A	-0.8088190800000001
ALDH6A1	-0.8080380000000034
MIGA1	-0.8079260000000001
PLA2G1B	-0.807084
RAB39B	-0.8068000000000008
TMEM67	-0.805000999999999
PIP5K1B	-0.8019432000000001
ZNF619	-0.8012814000000006
SAP25	-0.800745
DYRK1A	-0.8004640100000007
ARHGAP18	-0.7995269999999999
FANK1	-0.7988690999999999
AASS	-0.798581
NR2C2AP	-0.7984459999999984
THUMPD2	-0.798214999999999
CKAP2L	-0.7935602
CCDC24	-0.7930834
TRIM26	-0.7897531142495069
SAMD15	-0.7894483999999998
GORAB	-0.7888729899999998
ARHGAP31	-0.7883069999999999
RANBP10	-0.7879089999999991
CHST14	-0.7874469999999998
DHX37	-0.7869289330236
USP53	-0.7868199999999987
CCNYL1	-0.786570669417
SCLT1	-0.7860279984000016
INKA1	-0.78536
CCDC126	-0.7847469999999994
CYP2D6	-0.78374475
ZNF449	-0.7832560000000006
ALOX12	-0.783007
PAK1IP1	-0.7827000000000002
PKP2	-0.7816438000000001
FKBP11	-0.7812429999999893
PANK1	-0.7810079999999997
AXL	-0.780866
MARVELD3	-0.780278
TENT4B	-0.7802669999999994
ETFBKMT	-0.7794595493000003
RAD51	-0.7791673000000001
LYSMD4	-0.7790858400000005
PAQR4	-0.7788520000000005
CHRNA10	-0.7783259999999999
CAND2	-0.7770810999999997
FUZ	-0.7769709996174097
GPR155	-0.7768771999999995
HILPDA	-0.7767146999999999
ZNF532	-0.7766903999999999
RAB2B	-0.776149000000002
ZNF468	-0.7758005999999966
THBS3	-0.7757433000000002
TMEM241	-0.7757050999999999
ZNF324	-0.7756250000000016
WDR26	-0.7754951899999982
ASL	-0.775390419999999
TNNC2	-0.7747850000000001
FAM168A	-0.7743640999999997
FAM83D	-0.7743118846022412
C7orf25	-0.7741049337749999
CA13	-0.773687
SMARCA5	-0.773600000000009
MMRN2	-0.7726574000000002
ZNF322	-0.7726400000000009
ATG16L2	-0.7713724879934691
ZBTB17	-0.7708060000000003
ZBTB26	-0.7704990000000005
AGGF1	-0.76952
CRTC1	-0.7687246000000004
CAB39L	-0.7681980000000008
ADD2	-0.76801534167
MYO19	-0.7678865011311391
FAM229A	-0.7671024999999999
ZFAT	-0.7667340674699998
GTF2IRD2	-0.7654460000000007
MKNK1	-0.7653397999999996
DNAJC9	-0.7652760000000072
VEPH1	-0.7652602000000001
SLC27A2	-0.7645663000000003
ABHD16B	-0.7618900000000006
BRD3	-0.7612609999999975
MKS1	-0.7605819999999959
ANKRD6	-0.7595242027910198
PUS3	-0.7587069906407713
ZSWIM5	-0.7581819999999997
DHCR24	-0.7581000000000007
LDOC1	-0.7578819999999986
ACER1	-0.7572950000000002
IL17B	-0.7560875
TP63	-0.75607560278689
KCNN4	-0.7557494
MSANTD4	-0.7545529999999996
BAIAP3	-0.7536100234532701
CARM1	-0.7500944030500101
GAPVD1	-0.7498067144999965
ATRN	-0.7495149999999997
NELFB	-0.749088
LRRC57	-0.7488420304682002
PCNX1	-0.748291998381605
WWTR1	-0.7474766000000002
C2orf92	-0.7473443999999985
DTNB	-0.7472970156999992
CACHD1	-0.7464880999999997
SH3BGRL2	-0.7449909999999997
SH2D3A	-0.7446839783275081
ZNF354B	-0.7445839999999988
MT1E	-0.744218
SLC25A17	-0.7424755000000012
SYT15	-0.7422679000000001
B4GALT4	-0.7417927645379976
FNDC9	-0.7393848
OTUB2	-0.7393132324800002
SNTB1	-0.7380537999999994
NLRP6	-0.7368510000000006
PHLDB3	-0.7353370000000004
PRAG1	-0.7349280000000002
RNF144B	-0.7346169999999999
RAPH1	-0.7343891692089999
RRAS	-0.7343089999999943
MARVELD2	-0.7340161999999997
SLC27A5	-0.733924
ACBD4	-0.7332090141472012
RAMAC	-0.7323999999999913
MBOAT2	-0.7320151999999998
MTBP	-0.7318092999999997
GALE	-0.7309846669299995
FBXL17	-0.7308104999999996
ANKRD13D	-0.7295750000000041
NFIA	-0.7287429999999997
BANP	-0.7281378977245083
ENPP4	-0.7279200000000001
FRMD5	-0.72641954901
POGLUT2	-0.7260847525247998
CHKA	-0.7255964000000001
ASPDH	-0.7252008
FCHO1	-0.724836725214999
EEF1AKMT4	-0.7244999999999995
SSH2	-0.723044999999999
PPP4R3A	-0.7224999999999966
LRRC46	-0.7219959999999996
ZBTB32	-0.7217545999999997
CCDC146	-0.7210287699999993
SCAF1	-0.7201029999999995
ARSB	-0.7200199999999999
GBA	-0.7197469999999981
GPCPD1	-0.7194550000000035
TIMM21	-0.7187630000000027
TTC8	-0.718133187327
SERTAD3	-0.7181250000000006
ANKS1A	-0.7180599999999999
VAV1	-0.7163203000000031
INCENP	-0.7159807000000007
MARCO	-0.7155577999999999
PLAT	-0.7145063519149998
MROH8	-0.714405
GNB1L	-0.7140022000000013
AAMDC	-0.7135466990382291
GPT2	-0.7124799
ZNF25	-0.7122679999999981
WIZ	-0.7121626999999999
SH3RF3	-0.7114369999999997
RALB	-0.7109410000000018
KDM8	-0.7090352999999965
JAKMIP1	-0.7085842389999986
C12orf43	-0.7085369999999998
OSBPL7	-0.7077165999999968
PCED1B	-0.7073339999999959
CBWD5	-0.7066885293019034
LRRC2	-0.706367
PAWR	-0.7057093000000001
CASZ1	-0.7053095999999999
DCUN1D3	-0.7051609999999999
PC	-0.70316107383
ATP8B4	-0.70193288
PGAP2	-0.7014667399345083
ASPRV1	-0.7009199999999998
PGLYRP2	-0.7008079999999999
PDE6G	-0.7002830484554996
TPST1	-0.7000807
ZNF562	-0.7000095999999996
FAM220A	-0.699095
GYPB	-0.6986692999999999
RFX7	-0.6967899999999996
SIRT2	-0.6964200388000066
AIFM1	-0.6964078940000036
MELK	-0.6962615518940001
GAMT	-0.69604
POGLUT3	-0.6954180000000001
CLMP	-0.6951154317320001
USP28	-0.6947290109580031
LMBR1L	-0.6938069999999925
BUD13	-0.6936269999999993
FOXO3B	-0.69266
FAM178B	-0.6923060000000001
CCDC191	-0.6915527999999993
TAF6	-0.6915319700847888
MOSMO	-0.6909405999999998
FAM189B	-0.6901328589
TMEM121	-0.6901311187999997
BRICD5	-0.6900780000000001
HDAC9	-0.6895640000000001
INPP5B	-0.6881647999999991
DENND2B	-0.6879920000000002
TMSB15B	-0.6879083999999986
E2F7	-0.68714641
NEXN	-0.6868242
ALG13	-0.6866145109078019
AKAP11	-0.6852400000000003
ZBTB10	-0.68456867
MMP28	-0.6839121999999991
LCN12	-0.6808117000000001
MAPK3	-0.6800990000000002
PYGM	-0.6799445
PAK4	-0.6787500967621902
SRD5A3	-0.6787280000000004
HSF1	-0.6783104000000009
TNKS2	-0.6775999999999982
FUT1	-0.677429
ZDHHC23	-0.6764898999999998
NOP9	-0.6763750000000002
HOMEZ	-0.6760799999999989
LCAT	-0.6757968999999999
SPEG	-0.6752818999999999
MEIS3	-0.6735782853610001
RPS6KA3	-0.6730819999999937
PRPS2	-0.6726250000000036
TET2	-0.6723707495000024
TMEM120B	-0.6723152000000008
TTLL11	-0.6712227
SPCS1	-0.6711539999999996
LEKR1	-0.6711333099999999
PLCXD1	-0.670658
FOXM1	-0.6693758000000002
UEVLD	-0.6689575951374387
H2BU1	-0.6689529999999999
ZNF664	-0.668912090000001
NUPR2	-0.6687799999999999
HYAL3	-0.6687741320259997
PIGT	-0.6686099999999939
TMPPE	-0.6675159999999999
TAFA2	-0.6672866704900002
RCAN1	-0.6660543225559898
RGP1	-0.6652940000000012
HYAL1	-0.663197564240369
IGHMBP2	-0.663128399999998
CRACDL	-0.6630679590000002
PHOSPHO2	-0.6630182999999992
C9orf24	-0.6612893000000004
H3C10	-0.660423
